id,council_name,regions_id,council_types_id
3,ARUSHA,2,3
4,ARUSHA CC,2,4
185,ARUSHA  DC,2,4
542,KARATU,2,3
543,KARATU DC,2,4
886,LONGIDO,2,3
887,LONGIDO DC,2,4
1131,ARUMERU,2,3
1132,MERU DC,2,4
1591,MONDULI,2,3
1592,MONDULI DC,2,4
1914,NGORONGORO,2,3
1915,NGORONGORO DC,2,4
2222,ILALA,2221,3
2223,ILALA MC,2221,4
2421,KINONDONI,2221,3
2422,KINONDONI MC,2221,4
2525,UBUNGO,2221,3
2526,UBUNGO MC,2221,4
2660,TEMEKE,2221,3
2661,TEMEKE MC,2221,4
2814,KIGAMBONI,2221,3
2815,KIGAMBONI MC,2221,4
2909,DODOMA MJINI,2908,3
2910,DODOMA MC,2908,4
3232,BAHI,2908,3
3233,BAHI DC,2908,4
3870,CHAMWINO,2908,3
3871,CHAMWINO DC,2908,4
4834,CHEMBA,2908,3
4835,CHEMBA DC,2908,4
5467,KONDOA,2908,3
5468,KONDOA TC,2908,4
5514,KONDOA  DC,2908,4
6014,KONGWA,2908,3
6015,KONGWA DC,2908,4
6511,MPWAPWA,2908,3
6512,MPWAPWA DC,2908,4
7268,BUKOMBE,7267,3
7269,BUKOMBE DC,7267,4
7715,CHATO,7267,3
7716,CHATO DC,7267,4
8467,GEITA,7267,3
8468,GEITA TC,7267,4
8603,GEITA DC,7267,4
9413,MBOGWE,7267,3
9414,MBOGWE DC,7267,4
9859,"NYANG""WALE",7267,3
9860,"NYANG""HWALE DC",7267,4
10214,KILOLO,10213,3
10215,KILOLO DC,10213,4
10837,IRINGA MJINI,10213,3
10838,IRINGA MC,10213,4
11051,IRINGA,10213,3
11052,IRINGA DC,10213,4
11965,MUFINDI,10213,3
11966,MAFINGA TC,10213,4
12066,MUFINDI,10213,3
12067,MUFINDI DC,10213,4
12784,BIHARAMULO,12783,3
12785,BIHARAMULO DC,12783,4
13261,BUKOBA,12783,3
13262,BUKOBA  MC,12783,4
13344,BUKOBA DC,12783,4
13987,KARAGWE,12783,3
13988,KARAGWE DC,12783,4
14742,KYERWA,12783,3
14743,KYERWA DC,12783,4
15541,MISSENYI,12783,3
15542,MISSENYI DC,12783,4
16000,MULEBA,12783,3
16001,MULEBA DC,12783,4
16970,NGARA,12783,3
16971,NGARA DC,12783,4
17464,TANGANYIKA,17463,3
17465,MPANDA DC,17463,4
17869,MPANDA  MC,17463,4
18017,MPANDA,17463,3
18018,NSIMBO DC,17463,4
18364,MLELE,17463,3
18365,MLELE DC,17463,4
18476,MLELE,17463,3
18477,MPIMBWE DC,17463,4
18686,BUHIGWE,18685,3
18687,BUHIGWE  DC,18685,4
18943,KAKONKO,18685,3
18944,KAKONKO  DC,18685,4
19363,KASULU,18685,3
19364,KASULU  DC,18685,4
19741,KASULU  TC,18685,4
19869,KIBONDO,18685,3
19870,KIBONDO  DC,18685,4
20359,KIGOMA,18685,3
20360,KIGOMA  DC,18685,4
20708,KIGOMA/UJIJI  MC,18685,4
20798,UVINZA,18685,3
20799,UVINZA  DC,18685,4
21208,HAI,21207,3
21209,HAI  DC,21207,4
21585,SIHA,21207,3
21586,SIHA  TC,21207,4
21841,MOSHI,21207,3
21842,MOSHI MC,21207,4
21925,MOSHI  DC,21207,4
22821,MWANGA,21207,3
22822,MWANGA  DC,21207,4
23202,ROMBO,21207,3
23203,ROMBO  DC,21207,4
23610,SAME,21207,3
23611,SAME   DC,21207,4
24259,LINDI,24258,3
24260,LINDI  MC,24258,4
24400,LINDI MJINI,24258,3
24401,LINDI  DC,24258,4
25330,KILWA,24258,3
25331,KILWA  DC,24258,4
25802,RUANGWA,24258,3
25803,RUANGWA  DC,24258,4
26353,LIWALE,24258,3
26354,LIWALE  DC,24258,4
26805,NACHINGWEA,24258,3
26806,NACHINGWEA  DC,24258,4
27531,BUNDA,27530,3
27532,BUNDA TC,27530,4
27680,BUNDA,27530,3
27681,BUNDA DC,27530,4
28223,BUTIAMA,27530,3
28224,BUTIAMA DC,27530,4
28674,MUSOMA,27530,3
28675,MUSOMA MC,27530,4
28766,MUSOMA DC,27530,4
29231,SERENGETI,27530,3
29232,SERENGETI DC,27530,4
29703,RORYA,27530,3
29704,RORYA DC,27530,4
30333,TARIME,27530,3
30334,TARIME TC,27530,4
30423,TARIME DC,27530,4
31040,BABATI,31039,3
31041,BABATI DC,31039,4
31588,BABATI,31039,3
31589,BABATI TC,31039,4
31684,KITETO,31039,3
31685,KITETO DC,31039,4
32065,"HANANG""",31039,3
32066,HANANG DC,31039,4
32634,MBULU,31039,3
32635,MBULU TC,31039,4
32896,MBULU DC,31039,4
33357,SIMANJIRO,31039,3
33358,SIMANJIRO DC,31039,4
33720,MBEYA,33719,3
33721,MBEYA CC,33719,4
33941,MBEYA,33719,3
33942,BUSOKELO   DC,33719,4
34251,CHUNYA,33719,3
34252,CHUNYA DC,33719,4
34551,KYELA,33719,3
34552,KYELA DC,33719,4
35078,MBALALI,33719,3
35079,MBARALI DC,33719,4
35914,MBEYA,33719,3
35915,MBEYA  DC,33719,4
37023,RUNGWE,33719,3
37024,RUNGWE DC,33719,4
37611,GAIRO,37610,3
37612,GAIRO DC,37610,4
37986,KILOMNERO,37610,3
37987,KILOMBERO DC,37610,4
38592,IFAKARA TC,37610,4
38711,KILOSA,37610,3
38712,KILOSA  DC,37610,4
39729,MALINYI,37610,3
39730,MALINYI  DC,37610,4
39941,MOROGORO,37610,3
39942,MOROGORO MC,37610,4
40268,MOROGORO,37610,3
40269,MOROGORO DC,37610,4
41204,MVOMERO,37610,3
41205,MVOMERO DC,37610,4
42061,ULANGA,37610,3
42062,ULANGA DC,37610,4
42370,MASASI,42369,3
42371,MASASI  DC,42369,4
43464,MASASAI,42369,3
43465,MASASI TC,42369,4
43713,MTWARA,42369,3
43714,MTWARA MIKINDANI MC,42369,4
43846,NANYAMBA DC,42369,4
44285,MTWARA  DC,42369,4
44849,NANYUMBU,42369,3
44850,NANYUMBU  DC,42369,4
45490,NEWALA,42369,3
45491,NEWALA TC,42369,4
45660,NEWALA  DC,42369,4
46098,TANDAHIMBA,42369,3
46099,TANDAHIMBA DC,42369,4
46933,KWIMBA,46932,3
46934,KWIMBA DC,46932,4
47960,MAGU,46932,3
47961,MAGU DC,46932,4
48586,MISUNGWI,46932,3
48587,MISUNGWI DC,46932,4
49456,SENGEREMA,46932,3
49457,SENGEREMA  DC,46932,4
49982,BUCHOSA  DC,46932,4
50486,UKEREWE,46932,3
50487,UKEREWE DC,46932,4
51107,ILEMELA,46932,3
51108,ILEMELA MC,46932,4
51300,NYAMAGANA,46932,3
51301,MWANZA CC,46932,4
51497,LUDEWA,51496,3
51498,LUDEWA  DC,51496,4
51961,NJOMBE,51496,3
51962,NJOMBE  DC,51496,4
52247,MAKAMBAKO TC,51496,4
52396,NJOMBE,51496,3
52397,NJOMBE TC,51496,4
52709,MAKETE,51496,3
