residence_name,council_id
TINDIGANI,3
KIJENGE KASKAZINI,3
KIJENGE KUSINI,3
SORENYI,3
KAMBI YA CHUPA,3
KWA MREFU,3
MFEREJINI,3
KIROSHI,3
SIARA,3
OFISINI,3
ELKIROUWA,3
SUYE,3
MEIROTI,3
MWANAMA,3
MBESHERE,3
MOIVOI,3
R.C,3
NANJA,3
MOSHONO KATI,3
ENGOSOWASH,3
T.PACKERS,3
OLKEREYAN KATI,3
LAIZER,3
LOSIRWAYLAIZER,3
MTONI,3
KALIMAJI,3
MOIVARO KATI,3
MOSHONO KASKAZINI,3
NGURUMAUS,3
SEKEI,3
SHANGARAO,3
ENDONYOEMASI,3
ILKIROUWA,3
OLEPHOLOS,3
KORONGONI,3
"KIKWAKWARU ""A""",3
"KIKWAKWARU ""B""",3
LEMARA KATI,3
SUNFLAG,3
BLOCK C1,3
BLOCK C 2,3
BLOCK D,3
BLOCK F,3
BLOCK H,3
BLOCK J,3
LOLOVONO,3
LONGDONG,3
MURRIET,3
KANISANI,3
SAINEVUNO,3
MADUKANI,3
MAKAO MAPYA,3
OLEVOLOS,3
OLOMOKEYA,3
OLJANVUTIAN,3
MLIMANI,3
MIGUNGANI,3
ENGOSENGIU,3
LAITAYOK,3
"IMITONG""WA",3
MASKIRIA,3
BONDENI KATI,3
OLEPOLOSI,3
ERANGAU,3
OLKUNGU,3
ENGAVUNET,3
BONDENI,3
KATI,3
MASHARIKI,3
MURIETI,3
MLIMANI,3
MSASANI,3
FFU,3
ELUANYI,3
NADOSOITO KUSINI,3
NGORIENITO,3
OLDONYOKUMUR,3
EMBARARWAI,3
KATI,3
SIMANJIRO,3
BANDA MBILI,3
"KIRIKA ""A""",3
OLAMURRAKI,3
OSUNYAI,3
NGUSERO,3
"KIRIKA ""B""",3
KWARE,3
BURKA,3
AZIMIO,3
SHAMSI,3
SAMANGA,3
SACON,3
REMTULA,3
MAMA MUSA,3
NGURUMO,3
URUNDINI,3
SHUMA,3
"MAJENGO ""A""",3
"MAJENGO ""B""",3
"OLMATEJOO ""A""",3
NAVARANA,3
GIRIKI,3
"OLMATEJO ""B""",3
MAIRIVA,3
SAKINA,3
MELAMARI,3
KIMINDOROSI,3
OLASITI CENTRE,3
OLORESHO,3
OLKEREYAN,3
BURKA,3
OLTEVES,3
OLMOTI,3
NGARAMTONI YA CHINI,3
MLIMANI,3
MIRONGOINE,3
NAFCO,3
BONDENI,3
PANGANI,3
JAMHURI,3
.ALI NYANYA,3
SANARE,3
NDARVOI,3
DARAJANI,3
KATI,3
THEMI MASHARIKI,3
